Sector,Train_size,Test_size,Logistic_f1,SVM_f1,RandomForest_f1,RandomForest_prec,RandomForest_rec,XGBoost_f1,XGBoost_prec,XGBoost_rec,Best_Model,Best_F1
Bán lẻ,3000,1494,,,0.2830957230142566,0.5110294117647058,0.19577464788732393,0.3954802259887006,0.46313799621928164,0.34507042253521125,XGBoost,0.3954802259887006
Bảo hiểm,1000,498,,,0.3668639053254438,0.5254237288135594,0.2818181818181818,0.3515151515151515,0.5272727272727272,0.2636363636363636,RandomForest,0.3668639053254438
Bất động sản,18603,9462,,,0.5436375749500333,0.46842709529276694,0.6476190476190476,0.4350080237007777,0.47737740449742616,0.39954648526077097,RandomForest,0.5436375749500333
Công nghệ Thông tin,2000,996,,,0.4602510460251046,0.45081967213114754,0.4700854700854701,0.42266824085005905,0.47229551451187335,0.38247863247863245,RandomForest,0.4602510460251046
Du lịch và Giải trí,2000,996,,,0.5150684931506849,0.4208955223880597,0.6635294117647059,0.43373493975903615,0.4444444444444444,0.4235294117647059,RandomForest,0.5150684931506849
Dầu khí,2000,996,,,0.5404376784015223,0.4805414551607445,0.6173913043478261,0.5240431795878312,0.4776386404293381,0.5804347826086956,RandomForest,0.5404376784015223
Dịch vụ tài chính,8973,4860,,,0.46029609690444145,0.4586499776486366,0.4619540747411076,0.4003044140030441,0.45845438698431146,0.35524538496172897,RandomForest,0.46029609690444145
Hàng & Dịch vụ Công nghiệp,5458,2963,,,0.5106666666666667,0.4682151589242054,0.5615835777126099,0.46200607902735563,0.4794952681388013,0.44574780058651026,RandomForest,0.5106666666666667
Hàng cá nhân & Gia dụng,2000,996,,,0.32827586206896553,0.4375,0.26269315673289184,0.3460490463215259,0.45195729537366547,0.2803532008830022,XGBoost,0.3460490463215259
Hóa chất,4988,2490,,,0.4748329621380846,0.49953139643861294,0.4524617996604414,0.45506861443116425,0.47548566142460685,0.4363327674023769,RandomForest,0.4748329621380846
Ngân hàng,16964,8958,,,0.4389438943894389,0.4603301384451544,0.41945657447840856,0.36314767806480514,0.4722330097087379,0.29500242600679283,RandomForest,0.4389438943894389
Thực phẩm và đồ uống,9993,4980,,,0.5323518016272762,0.4723272602268821,0.6098535286284953,0.2945121951219512,0.47030185004868547,0.21438082556591212,RandomForest,0.5323518016272762
Tài nguyên Cơ bản,4000,1992,,,0.4554888039322774,0.43756558237145854,0.47494305239179957,0.4704,0.44232698094282846,0.5022779043280182,XGBoost,0.4704
Xây dựng và Vật liệu,8993,4482,,,0.4852801519468186,0.46328195829555757,0.5094715852442672,0.3577586206896552,0.4677938808373591,0.2896311066799601,RandomForest,0.4852801519468186
Y tế,1000,498,,,0.3225806451612903,0.5263157894736842,0.23255813953488372,0.3806646525679758,0.5431034482758621,0.2930232558139535,XGBoost,0.3806646525679758
"Điện, nước & xăng dầu khí đốt",6000,2988,,,0.46485623003194887,0.45433255269320844,0.4758789860997547,0.36198662846227314,0.4351320321469575,0.3098937040065413,RandomForest,0.46485623003194887
